,Year,Structure Number,Avg Daily Traffic,Age,Deck Area,Structure Type,Max Span Length,Deck Width,Deck Rating,Str Evl Apr,Operating Rating (Tons),District,108C - Deck Protection Code,Wrng Surf Type Code,Maximum Temperature,Minimum Temperature,Number of Freeze-Thaw Cycles,Time of Wetness,Prevailing Wind Direction,Mean Wind Speed,Number of Days with Measurable Precipitation,Maintenance Count,Previous Record 1,Previous Record 2
4785,1990,3100294,6700,5,12091,1,122,36,9,9,59,8,1,2,36,-13,104,4200,140,0,137,0,9,9
5533,1991,3100294,3355,6,12091,1,122,36,7,7,59,8,1,2,36,-16,101,3661,140,0,139,0,9,9
6065,1992,3100294,3355,7,12091,1,122,36,7,8,59,8,1,2,31,-17,102,3885,150,0,137,0,7,9
7490,1993,3100294,3355,8,12091,1,122,36,7,8,44,8,1,2,36,-16,102,3597,146,0,142,0,7,7
8129,1994,3100294,3355,9,12091,1,122,36,7,7,44,8,1,2,34,-27,94,3349,148,0,123,0,7,7
8521,1995,3100294,3355,10,12091,1,122,36,7,7,44,8,1,2,36,-19,90,3132,148,0,127,0,7,7
9261,1996,3100294,2705,11,12091,1,122,36,7,7,44,8,1,2,33,-20,97,3873,146,0,135,0,7,7
10479,1997,3100294,2705,12,12091,1,122,36,7,7,44,8,1,2,35,-19,105,3546,145,0,119,0,7,7
11086,1998,3100294,2705,13,12091,1,122,36,7,7,44,8,1,2,35,-12,81,3669,149,0,118,0,7,7
11976,1999,3100294,2705,14,12091,1,122,36,7,7,44,8,1,2,38,-23,90,2588,151,0,95,0,7,7
12754,2000,3100294,2705,15,12091,1,122,36,7,7,44,8,1,2,33,-16,84,3222,139,0,109,0,7,7
13093,2001,3100294,2705,16,12091,1,122,36,7,7,44,8,1,2,35,-12,90,3337,134,0,119,0,7,7
13539,2002,3100294,2705,17,12091,1,122,36,7,8,44,8,1,2,38,-11,98,3609,140,0,133,0,7,7
14351,2003,3100294,2705,18,12091,1,122,36,7,8,44,8,1,2,34,-15,87,3823,147,0,148,0,7,7
15543,2004,3100294,2705,19,12091,1,122,36,7,8,44,8,1,2,33,-24,79,3961,144,0,156,0,7,7
16403,2005,3100294,2705,20,12091,1,122,36,7,8,44,8,1,2,38,-14,94,3472,156,0,139,0,7,7
17388,2006,3100294,2705,21,12091,1,122,36,7,8,44,8,1,2,37,-13,100,3950,144,0,132,0,7,7
18130,2007,3100294,2705,22,12091,1,122,36,7,7,44,8,1,2,38,-23,90,2953,145,0,120,0,7,7
18564,2008,3100294,2705,23,12091,1,122,36,6,7,44,8,1,2,37,-15,101,3283,144,0,125,0,7,7
19350,2009,3100294,2705,24,12091,1,122,36,6,7,44,8,1,2,33,-21,86,3853,152,0,140,0,6,7
20409,2010,3100294,2705,25,12091,1,122,36,6,7,44,8,1,2,37,-14,65,2879,142,0,111,0,6,6
20627,2011,3100294,2705,26,12091,1,122,36,6,7,44,8,1,2,38,-17,86,4201,135,0,150,0,6,6
21480,2012,3100294,2705,27,12091,1,122,36,6,7,44,8,1,2,41,-11,95,3234,145,0,122,0,6,6
22238,2013,3100294,2705,28,12091,1,122,36,7,7,44,8,1,2,35,-16,107,3462,138,0,143,1,6,6
23322,2014,3100294,2705,29,12091,1,122,36,7,7,44,8,1,2,35,-23,94,3215,140,0,142,1,7,6
23702,2015,3100294,2705,30,12091,1,122,36,7,7,107,8,1,2,35,-20,72,3707,145,0,139,1,7,7
24565,2016,3100294,2705,31,12091,1,122,36,7,7,44,8,1,2,37,-15,83,3460,143,0,141,1,7,7
25494,2017,3100294,4788,32,12091,1,122,36,7,7,44,8,1,2,34,-14,80,3741,139,0,133,1,7,7
26218,2018,3100294,4788,33,12091,1,122,36,7,7,44,8,1,2,35,-19,106,4242,146,0,158,1,7,7
26806,2019,3100294,4788,34,12091,1,122,36,7,7,44,8,1,2,37,-20,96,3857,139,0,146,1,7,7
27595,2020,3100294,4788,35,12091,1,122,36,7,7,44,8,1,2,36,-11,96,3905,145,0,154,1,7,7
28976,2021,3100294,4788,36,12091,1,122,36,7,7,46,8,1,1,36,-16,92,3764,139,0,145,1,7,7
9262,1996,3100456,19500,38,17201,1,60,74,6,6,44,8,0,2,33,-20,97,3873,146,0,135,0,6,6
10480,1997,3100456,19500,39,17201,1,60,74,6,6,44,8,0,2,35,-19,105,3546,145,0,119,0,6,6
11087,1998,3100456,19500,40,17201,1,60,74,6,6,44,8,0,2,35,-12,81,3669,149,0,118,0,6,6
11868,1999,3100456,19500,41,17201,1,60,74,6,6,44,8,0,2,38,-23,90,2588,151,0,95,0,6,6
12724,2000,3100456,19500,42,17201,1,60,74,5,6,44,8,0,2,33,-16,84,3222,139,0,109,0,6,6
13094,2001,3100456,19500,43,17201,1,60,74,5,6,44,8,0,2,35,-12,90,3337,134,0,119,0,5,6
13540,2002,3100456,19500,44,17201,1,60,74,5,6,44,8,0,2,38,-11,98,3609,140,0,133,0,5,5
15544,2004,3100464,23050,2,17603,1,145,121,8,8,44,8,1,2,33,-24,79,3961,144,0,156,0,8,8
16404,2005,3100464,20920,3,17603,1,145,121,8,8,44,8,1,2,38,-14,94,3472,156,0,139,0,8,8
17389,2006,3100464,20920,4,17603,1,145,121,8,8,44,8,1,2,37,-13,100,3950,144,0,132,0,8,8
18131,2007,3100464,24140,5,17603,1,145,121,7,8,44,8,1,2,38,-23,90,2953,145,0,120,0,8,8
18565,2008,3100464,24140,6,17603,1,145,121,7,8,44,8,1,2,37,-15,101,3283,144,0,125,0,7,8
19216,2009,3100464,24140,7,17603,1,145,121,7,8,44,8,1,2,33,-21,86,3853,152,0,140,0,7,7
20410,2010,3100464,24140,8,17603,1,145,121,6,8,44,8,1,2,37,-14,65,2879,142,0,111,0,7,7
20628,2011,3100464,24140,9,17603,1,145,121,6,8,44,8,1,2,38,-17,86,4201,135,0,150,0,6,7
21481,2012,3100464,28090,10,17603,1,145,121,7,8,44,8,1,2,41,-11,95,3234,145,0,122,1,6,6
22241,2013,3100464,28090,11,17603,1,145,121,7,8,44,8,1,2,35,-16,107,3462,138,0,143,1,7,6
23323,2014,3100464,28090,12,17603,1,145,121,7,8,44,8,1,2,35,-23,94,3215,140,0,142,1,7,7
23703,2015,3100464,28090,13,17603,1,145,121,7,8,107,8,1,2,35,-20,72,3707,145,0,139,1,7,7
24566,2016,3100464,28090,14,17603,1,145,121,7,8,44,8,1,2,37,-15,83,3460,143,0,141,1,7,7
25495,2017,3100464,25601,15,17603,1,145,121,7,8,44,8,1,2,34,-14,80,3741,139,0,133,1,7,7
26219,2018,3100464,25601,16,17603,1,145,121,7,8,44,8,1,2,35,-19,106,4242,146,0,158,1,7,7
26807,2019,3100464,25601,17,17603,1,145,121,7,8,44,8,1,2,37,-20,96,3857,139,0,146,1,7,7
27599,2020,3100464,25601,18,17603,1,145,121,7,8,44,8,1,2,36,-11,96,3905,145,0,154,1,7,7
28977,2021,3100464,25601,19,17603,1,145,121,7,8,46,8,1,1,36,-16,92,3764,139,0,145,1,7,7
8131,1994,3100529,21160,3,17506,1,91,62,9,8,44,8,1,2,34,-27,94,3349,148,0,123,0,9,9
8523,1995,3100529,21160,4,17506,1,91,62,7,7,44,8,1,2,36,-19,90,3132,148,0,127,0,9,9
9105,1996,3100529,20210,5,17506,1,91,62,7,7,44,8,1,2,33,-20,97,3873,146,0,135,0,7,9
10304,1997,3100529,20210,6,17526,1,91,62,7,7,44,8,1,2,35,-19,105,3546,145,0,119,0,7,7
11170,1998,3100529,20210,7,17526,1,91,62,7,8,44,8,1,2,35,-12,81,3669,149,0,118,0,7,7
11869,1999,3100529,20210,8,17526,1,91,62,7,8,44,8,1,2,38,-23,90,2588,151,0,95,0,7,7
12725,2000,3100529,20210,9,17526,1,91,62,7,7,44,8,1,2,33,-16,84,3222,139,0,109,0,7,7
13095,2001,3100529,20210,10,17526,1,91,62,7,7,44,8,1,2,35,-12,90,3337,134,0,119,0,7,7
13565,2002,3100529,20210,11,17526,1,91,62,8,8,44,8,1,2,38,-11,98,3609,140,0,133,1,7,7
14356,2003,3100529,20210,12,17526,1,91,62,8,8,44,8,1,2,34,-15,87,3823,147,0,148,1,8,7
15578,2004,3100529,20210,13,17526,1,91,62,7,7,44,8,1,2,33,-24,79,3961,144,0,156,1,8,8
16405,2005,3100529,20210,14,17526,1,91,62,7,7,44,8,1,2,38,-14,94,3472,156,0,139,1,7,8
17390,2006,3100529,20210,15,17526,1,91,62,7,7,44,8,1,2,37,-13,100,3950,144,0,132,1,7,7
